Grip Name,20mm moon
Assessment Date,2026-09-11 13:20:42
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Left",18.673802819893275,39.322653329613686,762.5901463956956,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Left",0.6891764241938769,"kg",1789125389812,1474
"Left",0.7399638722153881,"kg",1789125389824,1486
"Left",0.8940477063617158,"kg",1789125389836,1498
"Left",1.1023618854241712,"kg",1789125389849,1511
"Left",1.3499101258436061,"kg",1789125389861,1523
"Left",1.5709090901363982,"kg",1789125389873,1535
"Left",1.7460136100730879,"kg",1789125389885,1547
"Left",1.894206694467334,"kg",1789125389897,1559
"Left",1.9343017110441074,"kg",1789125389909,1571
"Left",1.973218785016157,"kg",1789125389922,1584
"Left",2.0440306188325446,"kg",1789125389934,1596
"Left",2.13944305863819,"kg",1789125389946,1608
"Left",2.1701598718190436,"kg",1789125389958,1620
"Left",2.191498539458073,"kg",1789125389970,1632
"Left",2.1936731805870653,"kg",1789125389982,1644
"Left",2.2628539362160636,"kg",1789125389995,1657
"Left",2.366194617289188,"kg",1789125390007,1669
"Left",2.534321295565415,"kg",1789125390019,1681
"Left",2.748930613006903,"kg",1789125390031,1693
"Left",2.96032302522476,"kg",1789125390043,1705
"Left",3.144441718734302,"kg",1789125390055,1717
"Left",3.342061039827927,"kg",1789125390067,1729
"Left",3.498498199157949,"kg",1789125390080,1742
"Left",3.583353866894715,"kg",1789125390092,1754
"Left",3.588246771361775,"kg",1789125390104,1766
"Left",3.6023818280453077,"kg",1789125390116,1778
"Left",3.6240827625077747,"kg",1789125390128,1790
"Left",3.6771345153068555,"kg",1789125390140,1802
"Left",3.672196308325754,"kg",1789125390153,1815
"Left",3.7331310559051207,"kg",1789125390165,1827
"Left",3.8652846442345723,"kg",1789125390177,1839
"Left",3.9664951186941573,"kg",1789125390189,1851
"Left",4.125061121032572,"kg",1789125390201,1863
"Left",4.207017047689201,"kg",1789125390213,1875
"Left",4.124925207364903,"kg",1789125390225,1887
"Left",4.0579197591076115,"kg",1789125390238,1900
"Left",4.100007700228686,"kg",1789125390250,1912
"Left",4.167375572232044,"kg",1789125390262,1924
"Left",4.2770578549111455,"kg",1789125390274,1936
"Left",4.412790174032418,"kg",1789125390286,1948
"Left",4.577245450349515,"kg",1789125390298,1960
"Left",4.699386267490233,"kg",1789125390311,1973
"Left",4.774410419625167,"kg",1789125390323,1985
"Left",4.825559119493024,"kg",1789125390335,1997
"Left",4.876979635819175,"kg",1789125390347,2009
"Left",5.007501624186814,"kg",1789125390359,2021
"Left",5.13979042051479,"kg",1789125390371,2033
"Left",5.272804024304386,"kg",1789125390384,2046
"Left",5.331020108918873,"kg",1789125390396,2058
"Left",5.3580214952395036,"kg",1789125390408,2070
"Left",5.318969153827652,"kg",1789125390420,2082
"Left",5.253141935520646,"kg",1789125390432,2094
"Left",5.22256149524446,"kg",1789125390444,2106
"Left",5.311312719698162,"kg",1789125390456,2118
"Left",5.411797738915691,"kg",1789125390469,2131
"Left",5.529770189645706,"kg",1789125390481,2143
"Left",5.611091419034201,"kg",1789125390493,2155
